kennzahl;bezeichnung;10m;11w;12m;13w;14m;15w;20m;21w;22m;23w;24m;25w;30m;31w;40m;41w;hinweis
6.10;Recurve WA im Freien;;;;;;;;;;;;;;;;;
6.15;Compound WA im Freien;;;;;;;;;;;;;;;;;
6.16;Blankbogen WA im Freien;;;;;;;;;;;;;;;;;
6.20;Recurve Halle;;;;;;;;;;;;;;;;;
6.25;Compound Halle;;;;;;;;;;;;;;;;;
6.26;Blankbogen Halle;;;;;;;;;;;;;;;;;
6.30;Recurve Feldbogen;;;;;;;;;;;;;;;;;
6.40;Blankbogen Feldbogen;;;;;;;;;;;;;;;;;
6.50;Compound Feldbogen;;;;;;;;;;;;;;;;;
6.60;Recurve 3D;;;;;;;;;;;;;;;;;
6.65;Compound 3D;;;;;;;;;;;;;;;;;
6.66;Blankbogen 3D;;;;;;;;;;;;;;;;;
6.67;Langbogen 3D;;;;;;;;;;;;;;;;;
6.68;Traditionell 3D;;;;;;;;;;;;;;;;;
